Ano,Componente,Questão,Gabarito,Identificador
2º,Matemática,1,D,UGD164603
2º,Matemática,2,C,UGD164603
2º,Matemática,3,B,UGD164603
2º,Matemática,4, ,UGD164603
2º,Matemática,5,C,UGD164603
2º,Matemática,6,B,UGD164603
2º,Matemática,7,B,UGD164603
2º,Matemática,8,C,UGD164603
2º,Matemática,9,A,UGD164603
2º,Matemática,10, ,UGD164603
2º,Matemática,11,B,UGD164603
2º,Matemática,12,D,UGD164603
2º,Matemática,13,C,UGD164603
2º,Matemática,14,C,UGD164603
2º,Matemática,15,A,UGD164603
2º,Matemática,16,D,UGD164603
2º,Matemática,17,C,UGD164603
2º,Matemática,18,D,UGD164603
2º,Matemática,19,B,UGD164603
2º,Matemática,20,C,UGD164603
2º,Matemática,21,A,UGD164603
2º,Matemática,22,C,UGD164603
