Ano,Componente,Questão,Gabarito,Identificador
5º,Língua Portuguesa,1,A,ZJI466644
5º,Língua Portuguesa,2,C,ZJI466644
5º,Língua Portuguesa,3,D,ZJI466644
5º,Língua Portuguesa,4,B,ZJI466644
5º,Língua Portuguesa,5,A,ZJI466644
5º,Língua Portuguesa,6,D,ZJI466644
5º,Língua Portuguesa,7,B,ZJI466644
5º,Língua Portuguesa,8,A,ZJI466644
5º,Língua Portuguesa,9,D,ZJI466644
5º,Língua Portuguesa,10,D,ZJI466644
5º,Língua Portuguesa,11,A,ZJI466644
5º,Língua Portuguesa,12,D,ZJI466644
5º,Língua Portuguesa,13,D,ZJI466644
5º,Língua Portuguesa,14,B,ZJI466644
5º,Língua Portuguesa,15,B,ZJI466644
5º,Língua Portuguesa,16,A,ZJI466644
5º,Língua Portuguesa,17,A,ZJI466644
5º,Língua Portuguesa,18,D,ZJI466644
5º,Língua Portuguesa,19,A,ZJI466644
5º,Língua Portuguesa,20,A,ZJI466644
5º,Língua Portuguesa,21,A,ZJI466644
5º,Língua Portuguesa,22,B,ZJI466644
